player_id,first_name,last_name,birth_year,draft_year,draft_pick
457,Mamadi,Diakite,,,
458,Axel,Toupane,,,
459,CJ,McCollum,,,
460,Derrick,Jones Jr.,,,
461,Rondae,Hollis-Jefferson,,,
462,Harry,Giles III,,,
463,T.J.,Leaf,,,
464,CJ,Elleby,,,
465,Keljin,Blevins,,,
466,Markus,Howard,,,
467,Shaquille,Harrison,,,
468,Bol,Bol,,,
469,Udoka,Azubuike,,,
470,Jordan,Bell,,,
471,Gary,Payton II,,,
472,Alen,Smailagic,,,
473,Cassius,Stanley,,,
474,Amida,Brimah,,,
475,Lonnie,Walker IV,,,
476,Quinndary,Weatherspoon,,,
477,P.J.,Washington,,,
478,Vernon,Carey Jr.,,,
479,Grant,Riller,,,
480,Nick,Richards,,,
481,Nate,Darling,,,
482,Tacko,Fall,,,
483,Jontay,Porter,,,
484,Cameron,Oliver,,,
485,Cameron,Reynolds,,,
486,Danuel,House Jr.,,,
487,Kevin,Porter Jr.,,,
488,Jeremiah,Martin,,,
489,Anderson,Varejao,,,
490,Ignas,Brazdeikis,,,
491,Sindarius,Thornwell,,,
492,Rayjon,Tucker,,,
493,Cristiano,Felicio,,,
494,Devon,Dotson,,,
495,Adam,Mokoka,,,
496,Juancho,Hernangomez,,,
497,Didi,Louzada,,,
498,Kira,Lewis Jr.,,,
499,James,Nunnally,,,
500,Wes,Iwundu,,,
501,Daniel,Oturu,,,
502,Jay,Scrubb,,,
503,Josh,Hall,,,
504,Charlie,Brown Jr.,,,
505,Gabriel,Deck,,,
506,Louis,King,,,
